Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
Services and Agencies,Family and Youth Services,,Big Water Society,Atlin,BC,,,PO Box 432,,,V0W 1A0,250-651-2460,,,,,250-651-2460,,bigwater@bigwatersociety.org,,http://www.bigwatersociety.org/index.php,,,,North Coast,7,
Services and Agencies,Legal Services,,Big Water Society,Atlin,BC,,,PO Box 432,,,V0W 1A0,250-651-2460,,,,,250-651-2460,,bigwater@bigwatersociety.org,,http://www.bigwatersociety.org/index.php,,,,North Coast,7,
First Nations,First Nation Communities,,Blueberry River First Nation,Buick Creek,BC,,,PO Box 3009,,,V0C 2R0,250-630-2800,,,1-800-988-3533,,250-630-2588,,reception@blueberryfn.ca,,www.blueberryfn.ca,,,,Northeast,9,547
First Nations,First Nation Communities,,Bonaparte Indian Band,Cache Creek,BC,,,"2610 Perry Rd., Hwy 97 N., PO Box 669",,,V0K 1H0,250-457-9624,,,1-877-457-4944,,250-457-9550,,reception@bonaparteindianband.com,,www.bonaparteindianband.com,,Shuswap Nation Tribal Council,bone-eh-part,Thompson/Okanagan,4,686
Services and Agencies,Family and Youth Services,,Boothroyd Band,Boston Bar,BC,Head Start Program,,PO Box 70,53005-3 Kahmoose Rd.,,V0K 1C0,604-867-9299,,,,,604-867-9747,,,,,,"Nlaka'pamux Nation Tribal Council, Fraser-Thompson Indian Service Society, Nlaka'pamux Service Society",booth-roid,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Boothroyd Band,Boston Bar,BC,,,PO Box 70,53005-3 Kahmoose Rd.,,V0K 1C0,604-867-9211,,,,,604-867-9747,,,,,,"Nlaka'pamux Nation Tribal Council, Fraser-Thompson Indian Service Society, Nlaka'pamux Service Society",booth-roid,Thompson/Okanagan,4,700
First Nations,First Nation Communities,,Boston Bar First Nation,Boston Bar,BC,,,PO Box 369,45971 Hicks Rd.,,V0K 1C0,604-867-8844,,,,,604-867-9317,,bbarbandd@uniserve.com,,,,Nlaka'pamux Nation Tribal Council,,Thompson/Okanagan,4,701
Services and Agencies,Education,,Boundary All Nations Aboriginal Council (BANAC),Grand Forks,BC,,,c/o PO Box 1971,7438 Valley Heights Dr.,,V0H 1H0,250-442-3022,,,,,,,,,,,,,Kootenay,5,
Services and Agencies,Arts and Culture,,Boundary All Nations Aboriginal Council (BANAC),Grand Forks,BC,,,c/o PO Box 1971,7438 Valley Heights Dr.,,V0H 1H0,250-442-3022,,,,,,,,,,,,,Kootenay,5,
Métis,Métis Nation British Columbia and Chartered Communities,,Boundary Métis Community Association,Grand Forks,BC,Thompson & Okanagan,,PO Box 1215,,,V0H 1H0,,,,1-800-940-1150,,,,boundarymetiscommunity@gmail.com ,reception@mnbc.ca,,,Métis Nation British Columbia,may-tee,Kootenay,5,
Services and Agencies,Health Services,,Bridge River Health,Lillooet,BC,,,PO Box 190,"Lot 1A Joseph Rd., Orchard Springs Subdivision",,V0K 1V0,250-256-7423,,,,,250-256-2443,,health@xwisten.ca,,www.xwisten.ca,,Lillooet Tribal Council,,Cariboo,6,
First Nations,First Nation Communities,,Bridge River Indian Band,Lillooet,BC,,,PO Box 190,"Lot 1A Joseph Rd., Orchard Springs Subdivision",,V0K 1V0,250-256-7423,,,,,250-256-7999,,frontdesk@xwisten.ca,,www.xwisten.ca,,Lillooet Tribal Council,,Cariboo,6,590
Services and Agencies,Arts and Culture,,Britannia Community Services Centre,Vancouver,BC,,,1661 Napier St.,,,V5L 4X4,604-718-5800,,,,,604-718-5858,,,,www.britanniacentre.org,,,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Britannia Community Services Centre,Vancouver,BC,,,1661 Napier St.,,,V5L 4X4,604-718-5800,,,,,604-718-5858,,,,http://www.britanniacentre.org,,,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Britannia Community Services Centre,Vancouver,BC,,,1661 Napier St.,,,V5L 4X4,604-718-5800,,,,,604-718-5858,,,,http://www.britanniacentre.org,,,,Mainland/Southwest,3,
Services and Agencies,Education,,Britannia Outreach Secondary School,Vancouver,BC,,,1001 Cotton Dr.,,,V5L 3T4,604-713-5911,,,,,,,,,,,Britannia Community Services Centre,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,British Columbia Treaty Commission,Vancouver,BC,,,700 – 1111 Melville St.,,,V6E 3V6,604-482-9200,,,1-800-665-8330,,604-482-9222,,info@bctreaty.net,,www.bctreaty.net,,,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Broadway Youth Resource Centre (BYRC),Vancouver,BC,(ages 13 to 24 yrs),,691 East Broadway,,,V5T 1X7,604-709-5720,,,,,604-709-5721,,byrc@pcrs.ca,,www.pcrs.ca,,Pacific Community Resource Society,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Broadway Youth Resource Centre (BYRC),Vancouver,BC,Aboriginal Youth Victim Support Worker,,2780 East Broadway,,,V5M 1Y8,604-709-5720,,,,,604-709-5721,,byrc@pcrs.ca,,www.pcrs.ca,,"Broadway Youth Resource Centre (BYRC), Urban Native Youth Association (UNYA)",,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Broadway Youth Resource Centre (BYRC),Vancouver,BC,(ages 13 to 24 yrs),,691 East Broadway,,,V5T 1X7,604-709-5720,,,,,604-709-5721,,byrc@pcrs.ca,,www.pcrs.ca,,Pacific Community Resource Society,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Broadway Youth Resource Centre (BYRC),Vancouver,BC,Aboriginal Youth Victim Support Worker,,2780 East Broadway,,,V5M 1Y8,604-709-5720,,,,,604-709-5721,,byrc@pcrs.ca,,www.pcrs.ca,,"Broadway Youth Resource Centre (BYRC), Urban Native Youth Association (UNYA)",,Mainland/Southwest,3,
First Nations,First Nation Communities,,Burns Lake Band,Burns Lake,BC,,,"Bag 9000, 653 Hwy 16 W.",653 Hwy 16 W.,,V0J 1E0,250-692-7717,,,,,250-692-4214,,blb100@telus.net,,www.burnslakeband.ca,,Carrier Sekani Tribal Council,,Nechako,8,619
Services and Agencies,Business and Economic Development,,Burns Lake Native Development Corporation,Burns Lake,BC,,,PO Box 1030,485 Hwy 16 W.,,V0J 1E0,250-692-3188,,,,,250-692-7483,,,,www.blndc.ca,,"Burns Lake Band, Cheslatta Carrier Nation, Lake Babine Nation, Nee Tahi Buhn Band, Skin Tyee Nation, Wet'suwet'en First Nation",,Nechako,8,
Previous Name,First Nation Communities,,Burrard Band,North Vancouver,BC,,see Tsleil-Waututh Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Previous Name,First Nation Communities,,Campbell River Indian Band,Campbell River,BC,,see Wei Wai Kum First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Family and Youth Services,,Canada Prenatal Nutrition Program,Vernon,BC,,,2902 29th Ave.,,,V1T 1Y7,250-542-5448,,,,,250-542-3707,,prenatal@shawcable.com,,,,First Nations Friendship Centre,,Thompson/Okanagan,4,
Services and Agencies,Health Services,,Canadian Aboriginal AIDS Network,Vancouver,BC,,,6520 Salish Dr.,,,V6N 2C7,604-266-7616,,,,,,,,,www.caan.ca,,Health Canada First Nations and Inuit Health Branch,,Mainland/Southwest,3,
Previous Name,First Nation Communities,,Cape Mudge Band,Quathiaski Cove,BC,,see We Wai Kai First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,"Employment, Job Search and Placement",Aboriginal Skills and Employment Training Strategy (ASETS) Offices,Cariboo Chilcotin Aboriginal Training Employment Centre Society (CCATEC),Williams Lake,BC,,,205-197 N 2nd Ave.,,,V2G 1Z5,250-392-2510,,,,,250-392-2570,,administration@ccatec.com,,www.ccatec.com,,,,Cariboo,6,
Métis,Métis Nation British Columbia and Chartered Communities,,Cariboo Chilcotin Métis Association,Williams Lake,BC,North Central,,83 Oliver St.,,,V2G 1L6,250-392-4428,,,1-800-940-1150,,250-392-4428,,marleneirene@hotmail.com,dawnashort@live.com; metisnorq@hotmail.com,,,"BC Métis Federation, MNBC",may-tee,Cariboo,6,
Services and Agencies,Arts and Culture,,Cariboo Chilcotin Métis Association,Williams Lake,BC,,,83 Oliver St.,,,V2G 1L6,250-392-4428,,,1-800-940-1150,,250-392-4428,,marleneirene@hotmail.com,dawnashort@live.com; metisnorq@hotmail.com,,,"BC Métis Federation, MNBC",,Cariboo,6,
Services and Agencies,Education,,Cariboo Friendship Society,Williams Lake,BC,Little Moccasins Learning Centre,,99 S 3rd Ave.,228 North Fifth Ave.,,V2G 1J1,250-398-6841,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Friendship Centres,,Cariboo Friendship Society,Williams Lake,BC,,,99 S 3rd Ave.,,,V2G 1J1,250-398-6831,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Health Services,,Cariboo Friendship Society,Williams Lake,BC,Elders Circle of Care Program,,99 S 3rd Ave.,228 South Third Ave.,,V2G 1J1,250-392-7921,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Health Services,,Cariboo Friendship Society,Williams Lake,BC,Mental Health & Addictions,,99 S 3rd Ave.,,,V2G 1J1,250-398-6831,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Health Services,,Cariboo Friendship Society,Williams Lake,BC,Pregnancy Outreach Program,,99 S 3rd Ave.,202 North Fourth Ave.,,V2G 1J1,250-392-3583,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Women's Organizations,,Cariboo Friendship Society,Williams Lake,BC,Chiwid Transition House,,99 S 3rd Ave.,,,V2G 1J1,250-398-5658,,,,,250-398-6115,,admin@cfswl.ca,,www.cariboofriendshipsociety.ca,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres",,Cariboo,6,
Services and Agencies,Business and Economic Development,,Carrier Chilcotin Tribal Council,Williams Lake,BC,,,59 First Ave. S.,,,V2G 1H4,250-398-7033,,,,,250-398-6329,,main@carrierchilcotin.org,,www.carrierchilcotin.org,,"Toosey, Ulkatcho, Red Bluff, Kluskus",carry-er chill-ko-tin,Cariboo,6,
Services and Agencies,Family and Youth Services,,Carrier Chilcotin Tribal Council,Williams Lake,BC,,,59 First Ave. S.,,,V2G 1H4,250-398-7033,,,,,250-398-6329,,main@carrierchilcotin.org,,www.carrierchilcotin.org,,"Toosey, Ulkatcho, Red Bluff, Kluskus",carry-er chill-ko-tin,Cariboo,6,
Services and Agencies,Housing Services,,Carrier Chilcotin Tribal Council,Williams Lake,BC,,,59 First Ave. S.,,,V2G 1H4,250-398-7033,,,,,250-398-6329,,main@carrierchilcotin.org,,www.carrierchilcotin.org,,"Toosey, Ulkatcho, Red Bluff, Kluskus",carry-er chill-ko-tin,Cariboo,6,
First Nations,Tribal Councils/Affiliations,,Carrier Chilcotin Tribal Council,Williams Lake,BC,,,59 First Ave. S.,,,V2G 1H4,250-398-7033,,,,,250-398-6329,,main@carrierchilcotin.org,,www.carrierchilcotin.org,,"Toosey, Ulkatcho, Red Bluff, Kluskus",carry-er chill-ko-tin,Cariboo,6,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Carrier Sekani Family Services,Prince George,BC,Head Office,,987 4th Ave.,,,V2L 3H7,250-562-3591,,,1-800-889-6855,,250-562-2272,,info@csfs.org,,www.csfs.org,,"Burns Lake, Cheslatta, Lake Babine, Nadleh Whut'en, Stellat'en, Saik'uz, Takla Lake, Wet'suwet'en, Yekooche, Nak'azdli, Nee Tahi Buhn, Tl'azt'en, Skin Tyee",carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Carrier Sekani Family Services,Prince George,BC,Head Office,,987 4th Ave.,,,V2L 3H7,250-562-3591,,,1-800-889-6855,,250-562-2272,,info@csfs.org,,www.csfs.org,,"Burns Lake, Cheslatta, Lake Babine, Nadleh Whut'en, Stellat'en, Saik'uz, Takla Lake, Wet'suwet'en, Yekooche, Nak'azdli, Nee Tahi Buhn, Tl'azt'en, Skin Tyee",carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Prince George,BC,,,835 3rd Ave.,,,V2L 3C7,250-563-1281,,,1-800-889-6855,,250-563-3475,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Prince George,BC,,,835 3rd Ave.,,,V2L 3C7,250-563-1281,,,1-800-889-6855,,250-563-3475,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Vanderhoof,BC,Vanderhoof,,PO Box 1219,240 W. Stewart St.,,V0J 3A0,250-567-2900,,,1-866-567-2333,,250-567-2975,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Burns Lake,BC,Burns Lake,,PO Box 1475,8-870 Highway 16 West,,V0J 1E0,250-692-1800,,,,,250-692-1877,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Burns Lake,BC,Child and Youth Mental Health,,108 2nd Ave.,,,V0J 1E0,250-692-2387,,,,,250-692-2389,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Child and Family Services Agencies,,Carrier Sekani Family Services,Fort St. James,BC,,,132-250 Douglas Ave. ,,,V0J 1P0,250-996-7640,,,,,250-996-7644,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,"Employment, Job Search and Placement",,Carrier Sekani Family Services,Burns Lake,BC,Bridging to Employment,,492 Hwy 16 West,,,V0J 1E0,250-692-3586,,,,,,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,"Employment, Job Search and Placement",,Carrier Sekani Family Services,Prince George,BC,Bridging to Employment,,1145 2nd Ave.,,,V2L 3B1,250-563-5530,,,1-800-889-6855,,,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Family and Youth Services,,Carrier Sekani Family Services,Prince George,BC,Head Office,,987 4th Ave.,,,V2L 3H7,250-562-3591,,,1-800-889-6855,,250-562-2272,,info@csfs.org,,www.csfs.org,,"Burns Lake, Cheslatta, Lake Babine, Nadleh Whut'en, Stellat'en, Saik'uz, Takla Lake, Wet'suwet'en, Yekooche, Nak'azdli, Nee Tahi Buhn, Tl'azt'en, Skin Tyee",carry-er sek-an-ee,Nechako,8,
Services and Agencies,Family and Youth Services,,Carrier Sekani Family Services,Vanderhoof,BC,Vanderhoof,,PO Box 1219,240 W. Stewart St.,,V0J 3A0,250-567-2900,,,1-866-567-2333,,250-567-2975,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Health Services,,Carrier Sekani Family Services,Prince George,BC,Head Office,,987 4th Ave.,,,V2L 3H7,250-562-3591,,,1-800-889-6855,,250-562-2272,,info@csfs.org,,www.csfs.org,,"Burns Lake, Cheslatta, Lake Babine, Nadleh Whut'en, Stellat'en, Saik'uz, Takla Lake, Wet'suwet'en, Yekooche, Nak'azdli, Nee Tahi Buhn, Tl'azt'en, Skin Tyee",carry-er sek-an-ee,Nechako,8,
Services and Agencies,Health Services,,Carrier Sekani Family Services,Vanderhoof,BC,Vanderhoof,,PO Box 1219,240 W. Stewart St.,,V0J 3A0,250-567-2900,,,1-866-567-2333,,250-567-2975,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Health Services,,Carrier Sekani Family Services,Burns Lake,BC,Burns Lake,,PO Box 1475,8-870 Highway 16 West,,V0J 1E0,250-692-1800,,,,,250-692-1877,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Treatment and Healing Services,Residential,Carrier Sekani Family Services,Prince George,BC,,,301 - 1705 3rd Ave.,,,V2L 3G6,250-564-4079,,,,,250-561-7097,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Treatment and Healing Services,Non-Residential,Carrier Sekani Family Services,Prince George,BC,,,301 - 1705 3rd Ave.,,,V2L 3G6,250-564-4079,,,,,250-561-7097,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Treatment and Healing Services,Non-Residential,Carrier Sekani Family Services,Vanderhoof,BC,Vanderhoof,,PO Box 1219,240 W. Stewart St.,,V0J 3A0,250-567-2900,,,1-866-567-2333,,250-567-2975,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Treatment and Healing Services,Residential,Carrier Sekani Family Services,Vanderhoof,BC,Vanderhoof (service located in Ormand Lake),,PO Box 1219,240 W. Stewart St.,,V0J 3A0,250-567-2900,,,1-866-567-2333,,250-567-2975,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
Services and Agencies,Youth Organizations and Resources,,Carrier Sekani Family Services,Prince George,BC,,,1145 2nd Ave.,,,V2L 3B1,250-564-5641,,,1-800-889-6855,,250-564-5643,,info@csfs.org,,www.csfs.org,,,carry-er sek-an-ee,Nechako,8,
First Nations,Tribal Councils/Affiliations,,Carrier Sekani Tribal Council,Prince George,BC,,,200 - 1460 6th Ave.,,,V2L 3N2,250-562-6279,,,,,250-562-8206,,,,www.cstc.bc.ca,,,,Nechako,8,
First Nations,First Nation Communities,,Cayoose Creek Band,Lillooet,BC,,,PO Box 484,810 Hwy 99 S,,V0K 1V0,250-256-4136,,,1-866-333-4136,,250-256-4138,,cayoosecreekband@yahoo.com,,,,Lillooet Tribal Council,kai-yuse creek,Cariboo,6,591
Services and Agencies,Family and Youth Services,,Cedar Cottage Neighbourhood House,Vancouver,BC,,,4065 Victoria Dr.,,,V5N 4M9,604-874-4231,,,,,604-874-7169,,ccnh@cedarcottage.org,,www.cedarcottage.org,,Association of Neighbourhood Houses of British Columbia(ANHBC),,Mainland/Southwest,3,
Services and Agencies,Health Services,,Central Interior Native Health Society (Medical Clinic),Prince George,BC,,,1110 Fourth Ave.,,,V2L 3J3,250-564-4422,,,,,250-564-8900,,,,,,Northern Health Authority,,Nechako,8,
Services and Agencies,Business and Economic Development,,CESO  (Canadian Executive Service Organization),Toronto,ON,,,"Suite 800, 700 Bay St., Box 800",,,M5G 1Z6,416-961-2376 ,,,1-800-268-9052,,416-961-1096,,national@ceso-saco.com,,www.ceso-saco.com,,,,Out of Province,10,
Services and Agencies,Communications and Media,,CFRO Vancouver Co-op Radio - 102.7FM,Vancouver,BC,,,110 - 360 Columbia St.,,,V6A 4J1,604-684-8494,,,,,,,outreach@coopradio.org,,www.coopradio.org,,,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Champagne and Aishihik First Nations,Haines Junction,YT,Main Office,,PO Box 5310,#1 Allen Place,,Y0B 1L0,867-634-4200,,,,,867-634-2108,,reception@cafn.ca,,www.cafn.ca,,Southern Tutchone Tribal Council,sham-pane and eh-zhee-ack,North Coast,7,
First Nations,First Nation Communities,,Champagne and Aishihik First Nations,Whitehorse,YT,Whitehorse Office,,100-304 Jarvis St.,,,Y1A 2H2,867-456-6888,,,,,867-667-6202,,,,www.cafn.ca,,"Southern Tutchone Tribal Council, Champagne and Aishihik First Nations Main Office",sham-pane and eh-zhee-ack,North Coast,7,
First Nations,First Nation Communities,,Chawathil First Nation,Hope,BC,,Hope Indian Band,4-60814 Lougheed Hwy 7,,,V0X 1L3,604-869-9994,,,,,604-869-7614,,,,,,Sto:lo Tribal Council,cha-wah-thul,Mainland/Southwest,3,583
First Nations,First Nation Communities,,Cheam First Nation,Rosedale,BC,,,52130 Old Yale Rd.,,,V0X 1X1,604-794-7924,,,,,604-794-7456,,,,http://www.cheam.ca/,,Sto:lo Tribal Council,chee-am,Mainland/Southwest,3,584
Previous Name,First Nation Communities,,Chemainus First Nation,Ladysmith,BC,,see Stz’uminus First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
